# Calibration export (gaze = iris-based eye-local features)
screen_w=1512 screen_h=982
dead_zone_x=0.018365153206407234 dead_zone_y=0.009460137659377105
dead_px=0.0
cursor_smooth=0.1
use_polynomial=False
src_mu=[  0.0024331    0.090786] src_std=[   0.072303        0.03]
feature_mu=None feature_std=None
head_comp_enabled=True
max_std_iod=0.02 max_std_roll=6.0
# dot_index screen_x screen_y gaze_mean_x gaze_mean_y std_x std_y sample_count
0 211 159 -0.0897637173739939 0.10278496796057823 0.01738681348952489 0.008034698718931225 93
1 483 159 -0.052114178947614095 0.11335255433584182 0.004055276955098082 0.002227260135188791 97
2 755 159 -0.0021488283766167506 0.12030543422064599 0.00660396022779528 0.001758605666489869 96
3 1028 159 0.0331488336029499 0.12015017193665174 0.006365054237032764 0.002043042373009826 96
4 1300 159 0.09589097750927604 0.10206161776657223 0.005356754081356308 0.006088314187523314 96
5 211 380 -0.09050092130666829 0.0838706976662318 0.015153102938343937 0.005860510359567933 97
6 483 380 -0.04837280459852135 0.09501497426502262 0.010299235737159181 0.004505824357793084 97
7 755 380 -0.005618420022092546 0.10470639239603652 0.006114271782587882 0.001698973938591006 93
8 1028 380 0.03767790540289563 0.10838113835082475 0.008356944628122386 0.008826543488911568 96
9 1300 380 0.0957300494871337 0.09634537585651395 0.009588541376871451 0.0038259593258886467 94
10 211 601 -0.0744826392642777 0.073337727088181 0.005152448927532371 0.0037253493465081943 97
11 483 601 -0.042676344142746375 0.08029780793077887 0.009130427395836254 0.003942654883136452 95
12 755 601 -0.001619300816191471 0.09038187139333757 0.010721719658352934 0.0018981207246175982 96
13 1028 601 0.05043156250422416 0.08848804117856342 0.007683205467010072 0.004668980376834374 95
14 1300 601 0.09356022625914247 0.07845049537806675 0.005995348953849183 0.005269454806873827 97
15 211 822 -0.06367759584339971 0.05946836367378454 0.014267128477965102 0.004706471505368687 97
16 483 822 -0.028772677172657232 0.06608949334020058 0.006012349254099082 0.0010879996685558373 97
17 755 822 -0.00012700062336373948 0.07461599958239276 0.0094156376454238 0.0028110657500208503 96
18 1028 822 0.03469041095055561 0.08282371898779442 0.012657342871330905 0.004742974437486585 97
19 1300 822 0.08687452009947294 0.07620979368119521 0.00891253278290246 0.00873172935191223 93
20 756 491 0.014394044631157643 0.096049687685127 0.011719600815444497 0.004797245900990493 95
21 20 20 -0.14077795062413612 0.11864643646095388 0.01425508855422231 0.00775728555664706 97
22 1492 20 0.12087376522957921 0.1238695006499368 0.008648977385646073 0.00816909017529118 96
23 20 962 -0.08326149029686096 0.05061741697293828 0.005589048816849767 0.0032183573372991034 97
24 1492 962 0.1214678344556617 0.06331803639413072 0.01012360261973346 0.007855208368776085 97
# Affine 2x3 map_matrix (row-major)
445.630114640582 86.6785385233941 667.0706499547248
60.244839699940115 -385.45782773269553 548.6711258827238
# Polynomial coeffs_x (1, gx, gy, gx^2, gx*gy, gy^2)
# Polynomial coeffs_y
# Pose model weights (gx, gy, yaw, pitch, 1) -> x,y
