# Calibration export (gaze = iris-based eye-local features)
screen_w=1512 screen_h=982
dead_zone_x=0.014009046014982103 dead_zone_y=0.016156167573071627
dead_px=0.0
cursor_smooth=0.1
use_polynomial=False
src_mu=[  0.0075141    0.078627] src_std=[   0.071976        0.03]
feature_mu=None feature_std=None
head_comp_enabled=True
max_std_iod=0.02 max_std_roll=6.0
# dot_index screen_x screen_y gaze_mean_x gaze_mean_y std_x std_y sample_count
0 211 159 -0.06173565558948202 0.10835355250737413 0.006363179739731408 0.013472540210094577 74
1 483 159 -0.011221272378110847 0.10111867301317404 0.009456560576126732 0.008057718704124004 74
2 755 159 0.011165639896822057 0.10065800998686034 0.007370527362859468 0.006215522565911164 72
3 1028 159 0.04195728070509005 0.08999941233140453 0.006203017824104471 0.007476880653129364 75
4 1300 159 0.09278250897887749 0.0776425000596314 0.004833663747369573 0.008258868579160736 73
5 211 380 -0.09113909782558259 0.09794800460008907 0.011787198649207482 0.01479647817596802 73
6 483 380 -0.0475325764042169 0.10360499516053001 0.002942649892412578 0.008916954064539738 71
7 755 380 -0.00971236825107276 0.10045536616249516 0.003511074014767066 0.007716834823526586 69
8 1028 380 0.036117173703233835 0.09374726159800745 0.0058367748390408996 0.0049700752339272534 70
9 1300 380 0.1000814282798059 0.06354575324693712 0.008090619907890598 0.006484368731647139 74
10 211 601 -0.08992297139005898 0.07925924851734109 0.007904389322719764 0.008848010848448629 72
11 483 601 -0.05232413719029263 0.08045770716049 0.0051344956545605605 0.010470541695384488 72
12 755 601 -0.010915973124329856 0.08391150121423838 0.006257411441775551 0.004651877855128878 73
13 1028 601 0.05816512158579665 0.058617763224869376 0.012320176020713456 0.011868573254234053 71
14 1300 601 0.09521763311857238 0.0454138331378312 0.005752481696012429 0.007754008868447615 71
15 211 822 -0.06185247625598378 0.06211695992188321 0.014088109186558059 0.011271933343259915 69
16 483 822 -0.0285148828715141 0.06831171230720737 0.003123790557363098 0.006551675430654768 67
17 755 822 0.001492270451552996 0.06634980952648908 0.004938477425798874 0.0015539261574556895 74
18 1028 822 0.040745671827463095 0.05624367023386713 0.003593641001031797 0.007290638466894168 72
19 1300 822 0.09612155855991383 0.04934317701959215 0.009289056845843302 0.00892997548236113 72
20 756 491 0.018252906602680617 0.08213453428055208 0.003411222684401421 0.006895840802225253 73
21 20 20 -0.10706251359956723 0.11625528098520127 0.011288988303198829 0.015614986290709341 74
22 1492 20 0.14456552766658395 0.07586269911794416 0.0054618556117732656 0.0020141236206851457 72
23 20 962 -0.09478314122328964 0.056387081730887405 0.009868839979512673 0.004862949076519371 70
24 1492 962 0.11790581823505657 0.047941095203801326 0.006284872902502921 0.007006791728958315 73
# Affine 2x3 map_matrix (row-major)
415.60233419722886 0.12891922889878232 693.9773927803056
-293.50488667666315 -498.69762813787474 593.094267814146
# Polynomial coeffs_x (1, gx, gy, gx^2, gx*gy, gy^2)
# Polynomial coeffs_y
# Pose model weights (gx, gy, yaw, pitch, 1) -> x,y
